team_1,team_2,tournament,h_win_diff,h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,result,goal_diff
72,150,35,-10,5,-4,3,-2,1,3.2304,3.5778,3,-4,-4,-5,-1,1,-1.73,-1.04,-34,-19,-23,-3,4,-17,-19,-11,2,1
49,69,35,-6,3,-13,-3,1,-2,5.2537,3.907,8,-8,-9,-11,-7,-7,2.54,2.56,6,10,-10,3,-14,3,-3,11,1,-1
128,146,35,-5,3,-2,-3,1,-2,-0.23399999999999999,3.5848,-1,0,1,1,-4,1,1.73,-0.92,-20,3,39,-7,18,-5,2,-11,1,-1
44,167,35,-1,1,-11,8,-1,0,7.9574,3.7044,7,-9,-6,-8,-9,-7,0.73,0.6,22,4,-2,37,5,24,11,-8,1,-1
88,90,35,-5,2,-2,1,-1,3,7.0856,4.7148,6,-6,-8,-8,-8,-9,1.18,-0.16,0,10,-25,-15,0,-5,-15,-10,1,-2
65,172,35,4,5,1,-12,-1,4,-3.3789,3.6756,-1,6,6,4,9,7,-2.64,-1.16,-1,4,16,13,-16,-6,-13,-14,1,-2
69,72,35,5,3,12,3,3,-3,-8.7744,5.1793,-12,9,9,11,5,6,-2.63,-2.24,33,1,1,-12,11,20,24,17,2,2
65,167,35,-2,6,-7,1,0,1,2.8815,3.3222,15,-4,-3,-5,-1,-2,-0.73,0.12,11,-4,8,15,-4,-1,-4,-8,1,-2
146,167,35,-7,12,-4,7,-3,1,2.4204,3.2759,4,-5,-4,-6,-4,-4,-1.09,0.72,12,-9,-13,15,-8,10,-3,3,0,0
69,90,35,-7,9,12,6,3,-2,-2.693,3.3322,-10,1,-1,2,0,0,-3.09,-2.96,14,5,-17,-17,13,-1,-8,1,1,-1
90,167,35,1,11,-14,5,-4,2,1.7911,3.0833,11,-4,-1,-4,-3,-1,0.73,0.84,8,-5,24,28,-6,8,5,-10,1,-4
32,119,20,-1,0,-7,-2,-2,3,1.5358,3.1323,31,1,-4,2,1,-3,1.27,0.26,-13,-10,-16,10,10,12,-10,-5,1,-1
128,167,20,0,1,3,2,-3,4,3.14,3.3319,14,-6,-2,-9,-9,-3,-1.91,-1.65,20,-6,14,25,-17,20,5,-8,2,4
10,37,20,-2,1,1,-1,-4,0,7.1586,4.3885,46,-7,-1,-6,-6,1,-2.1,-1.48,-23,17,-43,28,-24,-1,-5,1,1,-2
39,72,20,1,0,5,3,-1,1,-3.1685,3.2219,-5,4,6,6,0,-7,-0.1,0.13,-2,-21,-1,-10,13,21,18,16,2,3
54,173,20,0,0,1,1,-4,1,0.7455,3.193,20,-5,-2,-3,-9,-4,2.36,2.09,2,-2,17,-1,7,-12,10,-17,1,-1
69,146,20,6,5,-2,3,0,1,-1.57,3.4904,-1,4,0,6,1,3,-1.46,-1.78,8,9,18,-4,15,-3,10,-12,2,4
26,119,20,12,6,-1,2,4,0,-7.7243,5.2419,-15,8,3,8,9,5,-0.37,0.57,9,-6,-11,-16,14,15,-21,-16,0,0
10,128,20,1,2,9,1,-3,-2,11.7148,6.4589,44,-10,-9,-8,-7,-6,-0.73,0.48,-18,25,-33,16,-9,-23,-16,-1,1,-1
37,167,20,-8,2,15,-1,-2,1,3.9130000000000003,4.4074,12,-9,-10,-11,-10,-10,-0.54,0.31,25,2,24,13,-2,-2,-6,-10,2,2
39,91,20,0,0,-8,-4,1,1,-1.7389,3.4748,-16,1,1,1,-1,-5,-1.64,0.78,-16,-14,-9,-23,12,-6,4,4,2,1
57,188,20,-1,3,3,-10,-1,0,-1.8334,3.7289,5,2,0,3,3,5,-2.18,-3.13,-21,1,6,35,-16,12,1,13,1,-1
65,173,20,3,9,16,-6,0,0,-2.73,3.4752,8,5,10,3,4,7,1.09,1.0,0,-16,1,1,9,-11,1,0,2,3
18,150,20,-1,1,-5,5,-2,0,-1.2414,3.29,-6,4,2,3,4,-2,-4.18,-2.09,-15,-9,-14,-37,-16,1,-5,10,2,1
10,167,20,0,0,18,-2,-5,0,6.4292,5.1822,58,-16,-11,-17,-16,-9,-2.64,-1.17,2,19,-19,41,-26,-3,-11,-9,1,-3
37,128,20,0,0,9,-3,0,-1,-0.0635,3.4508,-2,-3,-8,-2,-1,-7,1.37,1.96,5,8,10,-12,15,-22,-11,-2,1,-2
26,32,20,2,0,5,6,6,-3,-20.2822,9.2574,-46,7,7,6,8,8,-1.64,0.31,22,4,5,-26,4,3,-11,-11,2,3
90,188,20,0,4,1,-6,-3,4,-0.2178,3.4215,3,4,-1,6,4,7,0.91,-1.61,-30,-6,16,38,-14,15,13,2,1,-1
72,91,20,0,0,-10,-5,1,0,1.9807,3.5693,-11,-3,-5,-5,-1,2,-1.54,0.65,-14,7,-8,-13,-1,-27,-14,-12,2,1
54,65,20,-1,0,-17,8,-6,4,3.873,4.0759,12,-10,-12,-6,-13,-11,1.27,1.09,2,14,16,-2,-2,-1,9,-17,0,0
26,37,20,40,12,-5,3,3,-1,-4.6652,4.3948,-9,7,6,6,11,10,-0.37,-0.26,0,6,-8,-8,0,26,-7,-8,0,0
39,188,20,-6,9,5,-3,-1,2,-1.4865,3.3135,-1,0,-3,2,-1,-6,-0.64,-1.0,-25,-20,0,18,-2,14,9,12,2,2
119,128,20,-1,1,-3,-5,-1,-2,1.5485,3.2835,4,-4,-5,-4,1,-2,1.37,1.13,-4,20,13,-4,1,-11,3,6,1,-1
7,173,20,4,2,1,-8,1,0,-4.7123,4.075,-1,5,12,4,3,7,0.91,2.74,-16,-13,-7,-15,25,13,10,-2,0,0
65,69,20,3,6,9,-7,1,-2,0.0515,3.1089,14,-2,2,-5,-1,-1,-0.63,0.26,-15,-4,1,4,-11,-8,-11,1,1,-1
26,39,20,13,8,-3,3,3,-3,-3.0403,3.7278,-1,5,2,3,9,14,-1.27,-0.43,12,13,7,-8,-11,16,-18,-8,2,1
7,18,20,1,0,4,-6,1,0,-2.1555,3.3207,-5,1,6,1,0,8,1.73,3.09,2,3,-15,-1,35,12,13,2,2,1
26,69,20,8,5,-4,8,2,-2,-0.2504,3.1392,2,-1,0,-4,3,1,-0.27,1.44,-1,8,9,-6,-9,17,-20,-9,1,-6
7,128,20,-3,3,1,-6,1,-1,-0.5135,3.1969,-8,3,2,4,5,1,0.46,2.26,-25,5,-14,-26,29,3,0,-2,0,0
26,128,20,0,5,1,8,2,-1,-1.0885,3.6493,-11,4,-2,4,10,3,1.0,1.7,5,14,2,-20,15,4,-18,-10,1,-3
7,69,20,3,5,-3,-5,1,-1,0.9741,3.2359,5,-2,4,-4,-2,-1,-0.81,2.0,-31,-1,-7,-12,5,16,-2,-1,0,0
65,149,35,5,5,13,0,6,-7,-9.83,4.88,-5,9,10,9,8,7,0.09,-0.82,-7,-14,9,-13,17,1,1,2,2,1
57,150,35,2,4,0,0,2,0,-3.7310000000000003,3.57,-18,3,4,2,3,4,-3.73,-3.34,-11,3,-6,6,-6,-4,0,-4,0,0
135,145,35,1,2,-16,-2,-1,3,3.9589999999999996,3.42,-2,-6,-14,-7,-3,-6,0.36,1.22,2,20,14,-2,6,3,-6,9,1,-1
